epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,566.435,0.68336,1.58315,0.53451,0.88555,0.93122,0.90282,0.94867,0.6912,0.88618,0.81333,0.84783,0.46378,0.76185,1.72873,0.5235,0.86708,9.406e-05,9.406e-05,9.406e-05
62,575.581,0.6964,1.51548,0.54965,0.89204,0.92871,0.89205,0.93753,0.68208,0.87954,0.79994,0.83053,0.43378,0.77789,1.96225,0.52933,0.87178,9.3961e-05,9.3961e-05,9.3961e-05
63,584.266,0.68938,1.51652,0.54072,0.88964,0.92706,0.91086,0.94292,0.69445,0.87221,0.8562,0.87194,0.47628,0.75569,1.71075,0.52691,0.86112,9.3862e-05,9.3862e-05,9.3862e-05
64,593.888,0.68383,1.59402,0.52742,0.89042,0.93158,0.9159,0.95137,0.70086,0.87581,0.85277,0.86326,0.46539,0.73454,1.76847,0.50767,0.85827,9.3763e-05,9.3763e-05,9.3763e-05
65,603.561,0.6905,1.54023,0.53596,0.89425,0.92611,0.90851,0.94504,0.69986,0.84625,0.83431,0.83982,0.44085,0.74955,1.9219,0.51205,0.86244,9.3664e-05,9.3664e-05,9.3664e-05
66,613.477,0.66729,1.59028,0.5231,0.88621,0.92975,0.90904,0.94835,0.7047,0.87866,0.84972,0.87317,0.47194,0.74415,1.72167,0.5068,0.85804,9.3565e-05,9.3565e-05,9.3565e-05
67,622.219,0.66443,1.53095,0.51659,0.87561,0.91332,0.91523,0.94928,0.69706,0.86097,0.85364,0.86948,0.45851,0.75099,1.8981,0.51665,0.86063,9.3466e-05,9.3466e-05,9.3466e-05
68,631.28,0.67324,1.52319,0.51873,0.88261,0.92305,0.91631,0.9502,0.70333,0.87349,0.82873,0.85065,0.44618,0.73248,1.89678,0.50625,0.85839,9.3367e-05,9.3367e-05,9.3367e-05
69,640.791,0.66409,1.50229,0.5151,0.88163,0.92314,0.91311,0.94565,0.69302,0.85011,0.84693,0.85885,0.4556,0.76819,1.8418,0.5216,0.86961,9.3268e-05,9.3268e-05,9.3268e-05
70,649.967,0.66013,1.52372,0.50858,0.87965,0.93826,0.90701,0.95004,0.69854,0.86237,0.80919,0.8236,0.42998,0.75755,2.01803,0.50584,0.86521,9.3169e-05,9.3169e-05,9.3169e-05
71,659.175,0.65577,1.48284,0.5021,0.8761,0.93697,0.90244,0.94856,0.69442,0.85124,0.82401,0.83903,0.4287,0.74757,2.04931,0.50079,0.86177,9.307e-05,9.307e-05,9.307e-05
72,669.804,0.67443,1.56268,0.52329,0.88744,0.91718,0.90713,0.94649,0.69876,0.87032,0.83212,0.86119,0.45822,0.74065,1.77687,0.50324,0.85568,9.2971e-05,9.2971e-05,9.2971e-05
73,679.947,0.67431,1.51307,0.51245,0.88478,0.91929,0.91151,0.94789,0.69404,0.85491,0.84366,0.84919,0.44392,0.76634,1.87739,0.51057,0.86845,9.2872e-05,9.2872e-05,9.2872e-05
74,689.885,0.68121,1.51208,0.52243,0.8882,0.92359,0.91022,0.94704,0.69489,0.8587,0.84244,0.85374,0.44358,0.7527,1.93896,0.50262,0.85966,9.2773e-05,9.2773e-05,9.2773e-05
75,699.25,0.66482,1.497,0.50596,0.87965,0.91657,0.90391,0.9464,0.7006,0.87244,0.82732,0.85833,0.45855,0.74245,1.82702,0.50436,0.85626,9.2674e-05,9.2674e-05,9.2674e-05
76,709.684,0.66593,1.53692,0.51073,0.88263,0.92599,0.91014,0.94916,0.70276,0.85817,0.84632,0.86028,0.46282,0.73538,1.76506,0.49866,0.85628,9.2575e-05,9.2575e-05,9.2575e-05
77,718.831,0.66045,1.51141,0.49797,0.87445,0.93711,0.91464,0.95413,0.70049,0.86832,0.85067,0.85722,0.45524,0.74365,1.79766,0.49787,0.85753,9.2476e-05,9.2476e-05,9.2476e-05
78,728.289,0.65797,1.5102,0.50271,0.87464,0.93379,0.91503,0.94805,0.69268,0.87546,0.85283,0.86596,0.45663,0.7457,1.82149,0.50045,0.85835,9.2377e-05,9.2377e-05,9.2377e-05
79,737.421,0.66518,1.50277,0.50213,0.87766,0.9257,0.90819,0.94982,0.70162,0.87026,0.84481,0.86361,0.45372,0.74668,1.85656,0.48779,0.85637,9.2278e-05,9.2278e-05,9.2278e-05
80,747.26,0.66667,1.53584,0.51226,0.88362,0.93179,0.91747,0.95478,0.70977,0.87691,0.86658,0.88676,0.47509,0.72554,1.73968,0.48339,0.85216,9.2179e-05,9.2179e-05,9.2179e-05
81,756.947,0.64557,1.49826,0.49528,0.87782,0.93093,0.90719,0.949,0.70557,0.87367,0.85368,0.86944,0.45039,0.73233,1.86293,0.48815,0.8555,9.208e-05,9.208e-05,9.208e-05
82,766.808,0.66444,1.54233,0.49902,0.88229,0.92466,0.91068,0.94761,0.70376,0.85922,0.84788,0.85288,0.44936,0.73977,1.92416,0.48952,0.85387,9.1981e-05,9.1981e-05,9.1981e-05
83,776.635,0.66625,1.5033,0.49964,0.88268,0.92444,0.91893,0.95098,0.71634,0.85792,0.85584,0.86833,0.4612,0.72544,1.86657,0.48234,0.85376,9.1882e-05,9.1882e-05,9.1882e-05
84,785.419,0.66528,1.43296,0.50557,0.87992,0.92306,0.90576,0.94438,0.69854,0.8639,0.8434,0.86145,0.44801,0.74523,1.91076,0.48845,0.85769,9.1783e-05,9.1783e-05,9.1783e-05
85,794.832,0.66355,1.48324,0.49727,0.88154,0.92062,0.91028,0.94711,0.70637,0.86365,0.84863,0.86795,0.44502,0.73595,1.91425,0.48811,0.85614,9.1684e-05,9.1684e-05,9.1684e-05
86,804.239,0.65019,1.50485,0.4859,0.87708,0.94118,0.90182,0.95163,0.7047,0.86805,0.83614,0.85799,0.45432,0.75973,1.83516,0.48757,0.86064,9.1585e-05,9.1585e-05,9.1585e-05
87,814.043,0.65818,1.50835,0.49543,0.8811,0.93837,0.89968,0.94901,0.70366,0.87606,0.84044,0.86937,0.46041,0.74582,1.81781,0.48056,0.85926,9.1486e-05,9.1486e-05,9.1486e-05
88,823.997,0.65731,1.51215,0.48753,0.87814,0.92484,0.91124,0.94878,0.6942,0.85988,0.85059,0.86637,0.45953,0.75154,1.83406,0.49097,0.8652,9.1387e-05,9.1387e-05,9.1387e-05
89,834.677,0.66048,1.51459,0.49609,0.88784,0.93179,0.90867,0.94633,0.70286,0.86797,0.84915,0.86701,0.46703,0.74382,1.82353,0.48263,0.85844,9.1288e-05,9.1288e-05,9.1288e-05
90,843.946,0.65244,1.51101,0.48646,0.87772,0.94404,0.90719,0.9503,0.71206,0.88664,0.85762,0.88078,0.46428,0.72534,1.84408,0.47814,0.85512,9.1189e-05,9.1189e-05,9.1189e-05
91,853.292,0.65048,1.50856,0.47994,0.87476,0.94683,0.90417,0.95,0.71225,0.8742,0.83438,0.85907,0.45866,0.70774,1.87088,0.4726,0.84853,9.109e-05,9.109e-05,9.109e-05
92,862.337,0.63902,1.50854,0.47093,0.87135,0.93792,0.91125,0.95468,0.7163,0.89563,0.87056,0.90209,0.50248,0.72206,1.63074,0.4728,0.84886,9.0991e-05,9.0991e-05,9.0991e-05
93,872.517,0.64167,1.50436,0.4788,0.87393,0.94816,0.90375,0.95387,0.71342,0.86649,0.86766,0.87283,0.45452,0.71749,1.85295,0.46795,0.84987,9.0892e-05,9.0892e-05,9.0892e-05
94,882.444,0.64293,1.49355,0.48329,0.87889,0.92687,0.9095,0.95134,0.71133,0.87943,0.82771,0.85793,0.45762,0.71895,1.81376,0.47134,0.84968,9.0793e-05,9.0793e-05,9.0793e-05
95,892.627,0.64106,1.49137,0.47158,0.87331,0.93544,0.91907,0.95553,0.70701,0.86957,0.85638,0.87002,0.47736,0.72942,1.73247,0.47265,0.85194,9.0694e-05,9.0694e-05,9.0694e-05
96,902.803,0.65141,1.55495,0.47928,0.87852,0.93961,0.90416,0.95391,0.71248,0.88792,0.83711,0.86203,0.45976,0.72257,1.78057,0.46714,0.85051,9.0595e-05,9.0595e-05,9.0595e-05
97,912.164,0.64602,1.46121,0.47514,0.87278,0.92802,0.90229,0.94575,0.70268,0.84653,0.82452,0.8373,0.42937,0.76028,1.98853,0.48358,0.86116,9.0496e-05,9.0496e-05,9.0496e-05
98,921.605,0.65858,1.54459,0.4818,0.88226,0.94766,0.894,0.95049,0.70681,0.84868,0.86634,0.86792,0.4725,0.7251,1.81174,0.47699,0.85218,9.0397e-05,9.0397e-05,9.0397e-05
99,932.228,0.64556,1.50606,0.48508,0.87558,0.93388,0.91984,0.95602,0.71247,0.87191,0.86267,0.87844,0.48688,0.71914,1.67334,0.46851,0.84811,9.0298e-05,9.0298e-05,9.0298e-05
100,942.324,0.64525,1.49877,0.47519,0.87766,0.93589,0.90975,0.94633,0.70647,0.89454,0.84983,0.87101,0.45442,0.73029,1.92289,0.47661,0.85455,9.0199e-05,9.0199e-05,9.0199e-05
101,951.834,0.63282,1.47267,0.46543,0.87101,0.92587,0.92495,0.9524,0.71575,0.86229,0.85783,0.86451,0.46561,0.70203,1.89487,0.46667,0.84438,9.01e-05,9.01e-05,9.01e-05
102,961.944,0.64048,1.47177,0.47567,0.87877,0.93648,0.92125,0.95556,0.71349,0.87697,0.86558,0.8826,0.47909,0.72677,1.75752,0.46685,0.85293,9.0001e-05,9.0001e-05,9.0001e-05
103,972.421,0.64664,1.4739,0.48371,0.87191,0.92059,0.92438,0.95308,0.71166,0.88423,0.85263,0.88131,0.46534,0.72863,1.81981,0.47114,0.85622,8.9902e-05,8.9902e-05,8.9902e-05
