epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1831.66,0.57056,1.39141,0.34364,0.85787,0.95762,0.95257,0.97082,0.7607,0.88321,0.8792,0.88715,0.466,0.68471,1.85654,0.36003,0.84419,9.307e-05,9.307e-05,9.307e-05
72,1856.71,0.57479,1.41131,0.34813,0.86169,0.95584,0.95137,0.97109,0.75133,0.88835,0.88466,0.89149,0.48755,0.6931,1.71945,0.36763,0.85238,9.2971e-05,9.2971e-05,9.2971e-05
73,1882.38,0.57298,1.40757,0.34831,0.86844,0.95816,0.95134,0.97377,0.75386,0.88295,0.8783,0.87634,0.46805,0.70997,1.81912,0.36243,0.86064,9.2872e-05,9.2872e-05,9.2872e-05
74,1906.5,0.55357,1.39726,0.34006,0.85474,0.96177,0.95453,0.97317,0.75207,0.85452,0.85751,0.84785,0.45913,0.69951,1.99545,0.36076,0.85224,9.2773e-05,9.2773e-05,9.2773e-05
75,1932.46,0.57217,1.4092,0.34437,0.86602,0.96304,0.95479,0.96761,0.74134,0.89659,0.88032,0.87827,0.47889,0.70965,1.77193,0.36161,0.85634,9.2674e-05,9.2674e-05,9.2674e-05
76,1957.64,0.56892,1.41316,0.34277,0.85976,0.97084,0.95475,0.97663,0.75297,0.88826,0.87048,0.88365,0.48349,0.69354,1.75308,0.36046,0.84996,9.2575e-05,9.2575e-05,9.2575e-05
77,1982.25,0.56692,1.41195,0.34182,0.85885,0.96132,0.95594,0.9722,0.75511,0.88806,0.87718,0.87943,0.47663,0.69875,1.77423,0.3581,0.85902,9.2476e-05,9.2476e-05,9.2476e-05
78,2007.29,0.56515,1.397,0.33935,0.85602,0.96018,0.953,0.97468,0.75815,0.87041,0.86352,0.87267,0.47376,0.69525,1.85701,0.35295,0.84686,9.2377e-05,9.2377e-05,9.2377e-05
79,2034.7,0.5731,1.44295,0.34694,0.85845,0.96214,0.9628,0.97932,0.76003,0.88088,0.87551,0.87853,0.47628,0.68893,1.81694,0.35729,0.84891,9.2278e-05,9.2278e-05,9.2278e-05
80,2060.15,0.5609,1.40655,0.33977,0.85791,0.96592,0.95092,0.97145,0.75842,0.88599,0.87408,0.88197,0.47332,0.68405,1.86656,0.35592,0.84706,9.2179e-05,9.2179e-05,9.2179e-05
81,2085.83,0.55143,1.41131,0.33405,0.85249,0.95667,0.95458,0.97004,0.7573,0.87791,0.87688,0.87635,0.48447,0.67496,1.7443,0.3547,0.84056,9.208e-05,9.208e-05,9.208e-05
82,2110.87,0.55927,1.39705,0.33666,0.85695,0.95772,0.95654,0.97569,0.7564,0.88683,0.88036,0.87756,0.4644,0.69602,1.88437,0.35512,0.84644,9.1981e-05,9.1981e-05,9.1981e-05
83,2136.5,0.56378,1.39632,0.34067,0.86383,0.96692,0.95014,0.97583,0.75729,0.88603,0.8739,0.87487,0.46706,0.70861,1.92423,0.36052,0.85719,9.1882e-05,9.1882e-05,9.1882e-05
84,2162.61,0.55819,1.41426,0.33557,0.85516,0.95641,0.95659,0.96671,0.7502,0.87789,0.8802,0.87604,0.48427,0.70936,1.78277,0.36299,0.85802,9.1783e-05,9.1783e-05,9.1783e-05
85,2186.73,0.54713,1.38616,0.32804,0.85124,0.9612,0.94019,0.96938,0.75884,0.87764,0.87698,0.87911,0.4729,0.67764,1.83065,0.34802,0.84503,9.1684e-05,9.1684e-05,9.1684e-05
86,2212.94,0.56167,1.41376,0.33253,0.8611,0.95824,0.95386,0.97265,0.75641,0.88843,0.88673,0.89481,0.48507,0.70921,1.81463,0.35968,0.85694,9.1585e-05,9.1585e-05,9.1585e-05
