epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,390.497,0.72264,1.61667,0.61191,0.88131,0.95477,0.94856,0.96384,0.68349,0.87705,0.84638,0.83116,0.43318,0.80313,1.96221,0.56428,0.89046,9.1882e-05,9.1882e-05,9.1882e-05
84,394.626,0.72499,1.53248,0.6122,0.89011,0.95253,0.95127,0.97087,0.68426,0.85134,0.8493,0.81891,0.44327,0.80851,1.91121,0.5597,0.88594,9.1783e-05,9.1783e-05,9.1783e-05
85,399.262,0.71034,1.57214,0.59666,0.87899,0.94824,0.95619,0.97295,0.68057,0.83017,0.84454,0.79485,0.43955,0.82594,1.87879,0.56726,0.89085,9.1684e-05,9.1684e-05,9.1684e-05
86,404.056,0.71752,1.6096,0.58908,0.88217,0.95056,0.94667,0.97536,0.6847,0.84167,0.82612,0.79412,0.43045,0.81031,1.95808,0.56472,0.88837,9.1585e-05,9.1585e-05,9.1585e-05
87,408.046,0.7027,1.47442,0.57591,0.87655,0.96708,0.93164,0.97538,0.68846,0.8274,0.83845,0.7938,0.42737,0.8174,2.02519,0.56142,0.89214,9.1486e-05,9.1486e-05,9.1486e-05
88,412.292,0.71414,1.57378,0.60328,0.88088,0.95619,0.95143,0.97458,0.68587,0.81165,0.81869,0.77241,0.41419,0.80627,2.04421,0.54894,0.88342,9.1387e-05,9.1387e-05,9.1387e-05
89,416.669,0.69753,1.57661,0.57132,0.87009,0.95313,0.95643,0.97134,0.69023,0.82452,0.83185,0.79082,0.43346,0.77818,1.9134,0.54402,0.8758,9.1288e-05,9.1288e-05,9.1288e-05
90,421.163,0.70896,1.59482,0.5779,0.87927,0.96103,0.94046,0.96728,0.68856,0.8266,0.82459,0.78822,0.43124,0.78552,1.91509,0.55207,0.88035,9.1189e-05,9.1189e-05,9.1189e-05
91,425.886,0.70301,1.60255,0.56905,0.87524,0.96414,0.95504,0.97996,0.69178,0.85231,0.85196,0.80761,0.43962,0.81269,1.90583,0.55348,0.88882,9.109e-05,9.109e-05,9.109e-05
92,429.6,0.68689,1.45905,0.55042,0.86976,0.96137,0.9451,0.96691,0.68307,0.83662,0.85274,0.8058,0.43384,0.80273,1.91362,0.54514,0.89063,9.0991e-05,9.0991e-05,9.0991e-05
93,433.991,0.70345,1.53026,0.56596,0.87794,0.96131,0.95757,0.97502,0.68336,0.83944,0.85591,0.80953,0.43576,0.80783,1.86501,0.54404,0.89804,9.0892e-05,9.0892e-05,9.0892e-05
94,438.479,0.70024,1.53885,0.56835,0.87181,0.95689,0.9669,0.98186,0.69694,0.83357,0.84792,0.80587,0.43176,0.78495,1.94275,0.52874,0.88266,9.0793e-05,9.0793e-05,9.0793e-05
95,442.984,0.68204,1.54847,0.5665,0.86521,0.96038,0.95885,0.97739,0.68816,0.81513,0.82117,0.77317,0.41531,0.791,1.96715,0.5431,0.88548,9.0694e-05,9.0694e-05,9.0694e-05
96,447.49,0.69009,1.56363,0.57123,0.87199,0.95824,0.9497,0.97082,0.68406,0.83,0.84104,0.80675,0.43124,0.7984,1.91515,0.54332,0.88613,9.0595e-05,9.0595e-05,9.0595e-05
97,452.077,0.68987,1.58565,0.5595,0.8724,0.96367,0.95324,0.97576,0.69081,0.83186,0.84826,0.81051,0.44343,0.77106,1.87013,0.53291,0.8765,9.0496e-05,9.0496e-05,9.0496e-05
98,456.069,0.69507,1.60272,0.56151,0.86902,0.96414,0.96186,0.97989,0.69497,0.85346,0.85771,0.82532,0.44275,0.77236,1.91452,0.52998,0.8792,9.0397e-05,9.0397e-05,9.0397e-05
99,461.372,0.70412,1.61045,0.58108,0.87641,0.95907,0.95055,0.97345,0.68949,0.84021,0.85765,0.81752,0.44652,0.78026,1.86442,0.53931,0.87905,9.0298e-05,9.0298e-05,9.0298e-05
100,466.006,0.69082,1.56005,0.56687,0.87544,0.97353,0.94889,0.97931,0.69341,0.838,0.85793,0.81247,0.44239,0.76529,1.88248,0.53164,0.87213,9.0199e-05,9.0199e-05,9.0199e-05
101,470.156,0.69724,1.52501,0.55607,0.87365,0.96324,0.96345,0.97953,0.69922,0.83169,0.83852,0.791,0.43074,0.77612,1.89443,0.52839,0.88208,9.01e-05,9.01e-05,9.01e-05
102,474.912,0.71424,1.54265,0.56624,0.87511,0.97433,0.94633,0.9781,0.70027,0.86393,0.84325,0.80735,0.43094,0.77127,1.94439,0.53007,0.88021,9.0001e-05,9.0001e-05,9.0001e-05
103,479.439,0.68792,1.55756,0.56587,0.86871,0.97245,0.95144,0.9767,0.69503,0.84449,0.85265,0.79998,0.43428,0.79128,1.92536,0.53651,0.88529,8.9902e-05,8.9902e-05,8.9902e-05
104,483.876,0.68723,1.51751,0.56042,0.86812,0.96656,0.95978,0.97774,0.69847,0.85734,0.85884,0.81583,0.45616,0.78691,1.79469,0.52056,0.88317,8.9803e-05,8.9803e-05,8.9803e-05
105,488.49,0.70669,1.60162,0.57136,0.87792,0.96168,0.94796,0.96775,0.69433,0.84562,0.84828,0.80758,0.44044,0.77767,1.86149,0.51579,0.88403,8.9704e-05,8.9704e-05,8.9704e-05
106,492.944,0.70596,1.57304,0.5664,0.87469,0.96934,0.95917,0.97987,0.69404,0.85595,0.85562,0.82358,0.44809,0.81624,1.88605,0.53083,0.90599,8.9605e-05,8.9605e-05,8.9605e-05
107,497.136,0.67835,1.51502,0.53513,0.86367,0.96313,0.97083,0.97982,0.69749,0.83924,0.84898,0.79312,0.42569,0.78301,2.02889,0.52458,0.88351,8.9506e-05,8.9506e-05,8.9506e-05
108,501.139,0.68688,1.53753,0.5451,0.868,0.96573,0.9703,0.97948,0.69491,0.84834,0.85607,0.81356,0.44015,0.79415,1.92696,0.52471,0.88913,8.9407e-05,8.9407e-05,8.9407e-05
109,505.342,0.70111,1.55368,0.56087,0.87105,0.97318,0.96479,0.97209,0.69747,0.8449,0.85607,0.81333,0.45353,0.79346,1.82493,0.51583,0.89869,8.9308e-05,8.9308e-05,8.9308e-05
110,509.86,0.69271,1.58595,0.54998,0.87113,0.9734,0.9605,0.97251,0.69593,0.84065,0.83922,0.81296,0.45357,0.8005,1.79013,0.52015,0.89686,8.9209e-05,8.9209e-05,8.9209e-05
111,513.87,0.67171,1.46597,0.53651,0.8635,0.97478,0.96313,0.97576,0.68551,0.84594,0.85524,0.80662,0.43333,0.83836,1.96485,0.52767,0.92033,8.911e-05,8.911e-05,8.911e-05
112,517.822,0.69056,1.50845,0.54154,0.87572,0.95784,0.95994,0.97264,0.69422,0.79319,0.80238,0.75026,0.40799,0.81666,2.11879,0.52557,0.89713,8.9011e-05,8.9011e-05,8.9011e-05
113,521.996,0.68661,1.49491,0.55463,0.87814,0.96618,0.95631,0.97919,0.69934,0.82226,0.81848,0.77248,0.41821,0.77715,2.07148,0.51609,0.881,8.8912e-05,8.8912e-05,8.8912e-05
114,525.938,0.6807,1.46539,0.54291,0.86815,0.96484,0.96168,0.97746,0.69068,0.82009,0.82221,0.77805,0.42362,0.79873,2.03771,0.51989,0.89538,8.8813e-05,8.8813e-05,8.8813e-05
115,530.576,0.71118,1.57968,0.56639,0.8759,0.96573,0.95462,0.97771,0.68418,0.80041,0.81007,0.7645,0.4207,0.8113,2.05828,0.51588,0.89701,8.8714e-05,8.8714e-05,8.8714e-05
116,535.378,0.68113,1.56506,0.54401,0.87195,0.95837,0.94927,0.97526,0.6944,0.8399,0.83174,0.80655,0.45225,0.7771,1.84123,0.51238,0.87936,8.8615e-05,8.8615e-05,8.8615e-05
117,540.198,0.67756,1.58198,0.538,0.86923,0.95127,0.96092,0.97762,0.69372,0.84448,0.85416,0.81174,0.44986,0.77079,1.86729,0.50654,0.87675,8.8516e-05,8.8516e-05,8.8516e-05
118,544.35,0.69446,1.42177,0.54337,0.86481,0.96009,0.96845,0.97518,0.68956,0.84937,0.85852,0.8145,0.44548,0.78801,1.87994,0.50696,0.88593,8.8417e-05,8.8417e-05,8.8417e-05
119,548.623,0.66593,1.47032,0.52532,0.86377,0.96579,0.96206,0.97747,0.69638,0.85797,0.87539,0.82582,0.43773,0.79288,1.92786,0.5098,0.88607,8.8318e-05,8.8318e-05,8.8318e-05
120,553.572,0.67426,1.53616,0.54821,0.87327,0.9734,0.97347,0.98201,0.69801,0.85059,0.86201,0.80726,0.43122,0.77253,1.93449,0.5094,0.87501,8.8219e-05,8.8219e-05,8.8219e-05
121,558.295,0.67842,1.64581,0.55244,0.87422,0.9629,0.96825,0.97329,0.69524,0.85616,0.85998,0.81798,0.46018,0.79732,1.73496,0.51206,0.8865,8.812e-05,8.812e-05,8.812e-05
