epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1054.91,0.58695,1.44186,0.36361,0.86347,0.94774,0.93722,0.96816,0.74531,0.87351,0.85804,0.86687,0.47647,0.7061,1.79826,0.39557,0.84861,9.2476e-05,9.2476e-05,9.2476e-05
78,1070.06,0.59563,1.41675,0.3692,0.868,0.94876,0.94885,0.96849,0.73877,0.86859,0.87492,0.87598,0.47269,0.71446,1.82806,0.38894,0.85337,9.2377e-05,9.2377e-05,9.2377e-05
79,1084.63,0.58605,1.44481,0.36719,0.85871,0.95759,0.94579,0.97301,0.74676,0.88393,0.87501,0.88077,0.47774,0.71524,1.81264,0.38701,0.85719,9.2278e-05,9.2278e-05,9.2278e-05
80,1100.42,0.59381,1.48742,0.37562,0.86576,0.94113,0.94795,0.97034,0.73967,0.8896,0.88772,0.89994,0.50155,0.71244,1.61787,0.39444,0.85693,9.2179e-05,9.2179e-05,9.2179e-05
81,1115.19,0.58433,1.42987,0.36787,0.86279,0.94591,0.94003,0.96368,0.74475,0.88075,0.87227,0.88452,0.46683,0.70877,1.91382,0.39697,0.8541,9.208e-05,9.208e-05,9.208e-05
82,1130.96,0.59544,1.47722,0.36993,0.87025,0.9482,0.94881,0.96712,0.73959,0.88084,0.88184,0.88102,0.48281,0.70959,1.78187,0.39166,0.85697,9.1981e-05,9.1981e-05,9.1981e-05
83,1145.97,0.58958,1.43607,0.36645,0.86909,0.95999,0.94959,0.97849,0.74804,0.88871,0.87686,0.88659,0.48024,0.71194,1.78092,0.38876,0.85418,9.1882e-05,9.1882e-05,9.1882e-05
84,1160.07,0.58308,1.40334,0.35905,0.86141,0.93806,0.94605,0.96795,0.73863,0.8606,0.85714,0.86058,0.45573,0.71837,1.95397,0.3925,0.85973,9.1783e-05,9.1783e-05,9.1783e-05
85,1173.99,0.57552,1.3866,0.35783,0.85359,0.93983,0.9455,0.96628,0.74657,0.87815,0.88208,0.89119,0.4777,0.72217,1.84415,0.39243,0.85942,9.1684e-05,9.1684e-05,9.1684e-05
86,1188.9,0.58984,1.42027,0.36524,0.86262,0.94472,0.93833,0.96837,0.74338,0.86187,0.86465,0.87058,0.46426,0.70444,1.92166,0.39673,0.84822,9.1585e-05,9.1585e-05,9.1585e-05
87,1203.04,0.58456,1.45388,0.35969,0.86163,0.94789,0.93632,0.97161,0.74341,0.86786,0.87231,0.87304,0.48102,0.70035,1.8002,0.38956,0.84655,9.1486e-05,9.1486e-05,9.1486e-05
88,1217.71,0.57733,1.43606,0.35672,0.86101,0.94672,0.94078,0.96929,0.74186,0.87918,0.86588,0.87403,0.45655,0.706,1.93452,0.38607,0.85039,9.1387e-05,9.1387e-05,9.1387e-05
89,1231.21,0.56596,1.39561,0.35005,0.85995,0.947,0.93877,0.96574,0.74393,0.88192,0.87733,0.88855,0.46468,0.7071,1.85564,0.38527,0.84879,9.1288e-05,9.1288e-05,9.1288e-05
90,1245.04,0.58299,1.43088,0.35682,0.859,0.94661,0.94101,0.96736,0.74726,0.8866,0.88259,0.89066,0.48101,0.69323,1.79593,0.37764,0.84174,9.1189e-05,9.1189e-05,9.1189e-05
91,1259.11,0.57699,1.42117,0.35961,0.86016,0.94318,0.93651,0.96843,0.74056,0.88041,0.8772,0.88523,0.48043,0.71056,1.78286,0.38238,0.85015,9.109e-05,9.109e-05,9.109e-05
92,1273.62,0.57453,1.44271,0.35261,0.85339,0.95126,0.95016,0.97377,0.74374,0.88224,0.87949,0.88724,0.49092,0.70952,1.70357,0.38458,0.85037,9.0991e-05,9.0991e-05,9.0991e-05
93,1287.08,0.57231,1.40145,0.3573,0.85765,0.95418,0.946,0.9742,0.75055,0.86946,0.86409,0.87261,0.47039,0.70632,1.89057,0.38321,0.8481,9.0892e-05,9.0892e-05,9.0892e-05
94,1300.1,0.56636,1.37918,0.3534,0.8571,0.95017,0.95324,0.97099,0.74331,0.881,0.87176,0.88871,0.47207,0.71624,1.89846,0.38458,0.84904,9.0793e-05,9.0793e-05,9.0793e-05
95,1314.55,0.58586,1.41491,0.35913,0.86138,0.94469,0.94743,0.96857,0.73914,0.8743,0.87182,0.88214,0.4743,0.71969,1.88647,0.38745,0.85358,9.0694e-05,9.0694e-05,9.0694e-05
96,1329.73,0.58896,1.46256,0.35812,0.86074,0.95291,0.93992,0.97171,0.74756,0.87599,0.86661,0.87435,0.46916,0.71019,1.81326,0.38863,0.8504,9.0595e-05,9.0595e-05,9.0595e-05
97,1343.25,0.57075,1.41594,0.34925,0.85401,0.94453,0.9466,0.97028,0.75243,0.87724,0.86879,0.88111,0.47541,0.69476,1.81546,0.37822,0.84355,9.0496e-05,9.0496e-05,9.0496e-05
98,1357.36,0.5769,1.40096,0.35431,0.86173,0.94347,0.95443,0.96875,0.74306,0.87707,0.8755,0.8868,0.47819,0.71354,1.78373,0.37775,0.85111,9.0397e-05,9.0397e-05,9.0397e-05
99,1370.79,0.56757,1.38858,0.3499,0.85437,0.94779,0.94839,0.97323,0.75391,0.88509,0.88095,0.88566,0.47652,0.69423,1.84932,0.37897,0.84418,9.0298e-05,9.0298e-05,9.0298e-05
100,1386.17,0.57605,1.45405,0.35538,0.85817,0.95545,0.93711,0.97178,0.74091,0.88045,0.87222,0.88017,0.47288,0.71034,1.87235,0.38285,0.85601,9.0199e-05,9.0199e-05,9.0199e-05
101,1399.86,0.56913,1.40552,0.35242,0.85997,0.9466,0.94858,0.97196,0.74858,0.88171,0.85801,0.86967,0.45103,0.69803,1.9604,0.37957,0.85464,9.01e-05,9.01e-05,9.01e-05
102,1413.58,0.55949,1.3999,0.34316,0.85163,0.94394,0.94586,0.97247,0.76023,0.86013,0.85462,0.86594,0.45035,0.69711,2.02358,0.37709,0.85211,9.0001e-05,9.0001e-05,9.0001e-05
103,1427.5,0.56003,1.39489,0.34941,0.85743,0.94612,0.94586,0.97056,0.76556,0.87127,0.87396,0.88295,0.48583,0.68311,1.76138,0.37276,0.84663,8.9902e-05,8.9902e-05,8.9902e-05
104,1441.31,0.55736,1.39294,0.34711,0.8516,0.95225,0.93932,0.97015,0.74499,0.89019,0.87241,0.88052,0.47198,0.70016,1.93811,0.379,0.84842,8.9803e-05,8.9803e-05,8.9803e-05
